reward,length
-6.318448708948407,13
8.7165367450331,16
-13.309999999999999,7
-1.9312284469242194,15
31.67739001596823,18
8.908098090858113,14
-10.213050386352228,14
10.414580993841232,13
12.752105450836947,14
27.181340812366898,17
-27.0,10
25.92864332633452,14
28.30404077674037,14
17.86099927074563,16
38.9173382715549,17
-10.899999999999999,3
-2.457302482623734,11
11.272006274532295,17
8.952296210455373,15
17.48704683411027,17
23.994514841323827,17
31.579820749564057,18
28.372526451308588,16
4.530748597454485,13
5.4290054394959775,12
4.40385537601659,16
1.2265441850015044,13
2.030541330896088,12
19.708001490419242,16
8.388361069766557,13
-4.310971355959443,16
16.78596056478754,13
8.82132422549692,15
5.967466618459799,11
24.767800719684914,16
4.436125577611248,15
-0.055649617912869154,13
-8.722343084686637,5
-2.082633342603436,14
4.402133793943754,13
15.811101155840323,12
8.38365254461613,13
-7.850549276387226,14
35.35658478517931,17
8.544040433513885,12
6.028872669540611,16
37.30251840407812,19
-4.3639659871745975,13
-10.711411134486967,5
28.6213382300067,17
