reward,length
-4.26530664737809,14
9.614408636066718,12
12.849498593499774,15
-10.710649715270048,5
-15.615144339282065,8
10.905087732912495,17
8.161218291841715,12
-0.4005961852225992,11
8.713550564142125,14
-8.755729700150695,13
13.117690882951603,17
10.383297961649173,13
14.046789537767083,13
19.08968980691842,13
-24.339643326095498,11
20.527699409152486,15
36.5322419610872,16
26.27212919802658,17
28.52454269462571,16
12.851088661401622,16
17.78739426148385,17
12.717200787348332,14
12.93029343809183,14
-32.400000000000006,10
19.15234702696475,17
30.513463892919987,18
-9.123459869537138,9
12.934361416731498,15
33.565782455280264,16
4.326812321828502,16
31.516921148657516,16
-10.899999999999999,3
-12.738891130346767,15
-17.231766603891675,14
17.03130719082231,14
-23.91,11
24.612201077529974,19
-15.009999999999998,6
29.388647189531532,13
3.3611310237548926,15
-2.037138537453422,15
7.4330722442096135,13
38.87413971245028,16
39.098089039327505,18
4.457839187154516,16
22.267254533324703,13
2.367304593472145,15
22.388267469084866,17
7.92074568154675,13
16.65457881223818,16
