reward,length
29.01012146611529,13
32.63437533988378,18
0.9234659793367088,12
21.764952509994696,14
25.92371105246467,16
4.448508121706694,13
44.378375319065,18
3.3190672018850798,14
-16.89,14
14.705174979123836,14
7.485821487556211,14
12.274529997192108,13
25.856713697079694,15
5.347128196160352,15
32.23658331018272,16
-14.57296215345793,12
-0.3461311284128925,12
3.341174064417973,16
20.029352700256144,18
26.315248112591934,18
-4.2411857881907125,13
-3.993510042526996,15
-15.580485851402408,11
21.61704956658253,15
26.574649282279122,17
14.8581958953704,14
8.471028825169679,15
4.393320932925754,14
-3.202679014663223,11
-6.43490005049421,13
19.210861035519393,14
9.832746910460486,14
16.493975937337822,17
17.47489316493953,17
12.69198625092412,13
10.551957138405594,12
24.815784975585238,16
38.3402512756667,19
-12.63,10
-0.3011408977744656,12
30.203011847469305,17
4.884433345475362,16
0.31165032683432425,16
12.760539736592133,13
-4.436499158059099,13
-5.890000000000001,11
27.90576073393698,16
4.3586637526665974,14
28.869786792381365,15
-6.4407113175965,13
